,open,high,low,close,data_magnitude,data_magnitude_exp_1,data_magnitude_exp_inv_1,data_magnitude_pow_1,data_magnitude_exp_2,data_magnitude_exp_inv_2,data_magnitude_pow_2,data_magnitude_exp_3,data_magnitude_exp_inv_3,data_magnitude_pow_3,data_magnitude_exp_4,data_magnitude_exp_inv_4,data_magnitude_pow_4,data_magnitude_exp_5,data_magnitude_exp_inv_5,data_magnitude_pow_5,data_magnitude_exp_6,data_magnitude_exp_inv_6,data_magnitude_pow_6,data_magnitude_exp_7,data_magnitude_exp_inv_7,data_magnitude_pow_7,data_magnitude_exp_8,data_magnitude_exp_inv_8,data_magnitude_pow_8,data_magnitude_exp_9,data_magnitude_exp_inv_9,data_magnitude_pow_9,data_magnitude_exp_10,data_magnitude_exp_inv_10,data_magnitude_pow_10,data_magnitude_exp_11,data_magnitude_exp_inv_11,data_magnitude_pow_11,data_magnitude_exp_12,data_magnitude_exp_inv_12,data_magnitude_pow_12,data_magnitude_exp_13,data_magnitude_exp_inv_13,data_magnitude_pow_13,data_magnitude_exp_14,data_magnitude_exp_inv_14,data_magnitude_pow_14,data_magnitude_exp_15,data_magnitude_exp_inv_15,data_magnitude_pow_15,data_magnitude_exp_16,data_magnitude_exp_inv_16,data_magnitude_pow_16,data_magnitude_exp_17,data_magnitude_exp_inv_17,data_magnitude_pow_17,data_magnitude_exp_18,data_magnitude_exp_inv_18,data_magnitude_pow_18,data_magnitude_exp_19,data_magnitude_exp_inv_19,data_magnitude_pow_19
open,1.0,0.9995414639387166,0.9995313494660408,0.9992983611046194,0.9997859170365987,0.23801100078980905,-0.25793605527153307,0.9997859170365987,0.13520648489523068,-0.16604089646253553,0.9888342619703872,0.09724304003031857,-0.13788889769676207,0.961797175104212,0.0769900650259503,-0.12320901871770934,0.9252966945630631,0.06559287307900044,-0.11307913765869619,0.8840176665686054,0.05860097589191883,-0.10515373048879147,0.8411769987958212,0.05389804188309875,-0.09861525836748064,0.7987644968010021,0.050489991440467376,-0.09308024120289261,0.7578228068017399,0.04788655519384052,-0.08831977927199904,0.7187709278476446,0.0,-0.08417548560140715,0.6816868978376998,0.0,-0.08052921559644131,0.6465042275388337,0.0,-0.0772897305424038,0.6131240030664092,0.0,-0.07438548046656175,0.5814652920541773,0.0,-0.07175997363800364,0.551478182902889,0.0,-0.06936845544154432,0.5231381810932578,0.0,-0.06717537962299135,0.49643407005110796,0.0,-0.06515243009896438,0.4713559477458946,0.0,-0.06327695866226916,0.44788640694467824,0.0,-0.061530749961835,0.4259955470237744
high,0.9995414639387166,1.0,0.9992565558296067,0.9996780459231356,0.9998185935555112,0.23819059856411992,-0.25728498690173085,0.9998185935555112,0.13531965699974147,-0.16565340183123856,0.9890034707178941,0.09738629523833843,-0.1375800163515966,0.9620633361162364,0.07718364815906889,-0.12294446284485434,0.9256301137106693,0.06583091197702147,-0.11284811268319671,0.8843973758644618,0.05887198518971721,-0.10495039803348334,0.8415881517103732,0.05419181243879494,-0.09843543091861112,0.7991961527374271,0.050798870770589796,-0.09292059580322067,0.75826649541427,0.04820512126306575,-0.0881775912284628,0.7192198463732584,0.0,-0.08404849387438905,0.682135498604462,0.0,-0.08041553141486782,0.6469480073601332,0.0,-0.07718776671325146,0.6135593806605181,0.0,-0.07429389466538247,0.5818895146869728,0.0,-0.07167762277426935,0.5518892366263808,0.0,-0.06929435910548612,0.5235346967695856,0.0,-0.06710869092722858,0.49681522589947597,0.0,-0.06509241245606635,0.47172137243453954,0.0,-0.06322296727102045,0.4482360876966444,0.0,-0.061482216999985954,0.4263297462888529
low,0.9995313494660408,0.9992565558296067,1.0,0.9996132370541554,0.9997850843153195,0.23792734764635512,-0.2583703454270036,0.9997850843153195,0.13498356541787698,-0.16622040895931353,0.9888416975221958,0.09704769468739623,-0.1380176307037974,0.9618519376593062,0.07686629635859235,-0.12331771546664168,0.9254140614345674,0.0655442270051272,-0.11317475013559991,0.8841959183400215,0.05861672960187316,-0.10523917345211602,0.8414054639849847,0.05396433568147,-0.09869247784301526,0.7990295689618033,0.05059406347733267,-0.09315078282496805,0.7581113314594512,0.04801796049286405,-0.0883849174332779,0.7190716224020062,0.0,-0.08423627262389631,0.6819906646610819,0.0,-0.08058651672170787,0.6468039799628938,0.0,-0.07734425501586206,0.6134143433834327,0.0,-0.0744378091488059,0.5817421901991819,0.0,-0.0718105826537499,0.5517387039007446,0.0,-0.06941773583558232,0.5233802660627762,0.0,-0.06722365338517672,0.49665636157883375,0.0,-0.06519996308995919,0.47155764887064966,0.0,-0.06332397099118664,0.4480671653624944,0.0,-0.061577424313250244,0.42615535887648287
close,0.9992983611046194,0.9996780459231356,0.9996132370541554,1.0,0.999839665683031,0.23805940333019815,-0.25787102960705327,0.999839665683031,0.13519075077670606,-0.16599015831639158,0.9889440499954578,0.0972434408471848,-0.13784770521980638,0.9619575161614352,0.07705064664822245,-0.12317325188719422,0.9254978236069741,0.06571846859622438,-0.11304707675464057,0.8842481163780571,0.05878125410805336,-0.10512463184083509,0.84142565207772,0.05412007152339226,-0.09858868958358996,0.7990217775162312,0.05074245537578091,-0.09305587161375274,0.7580811102471438,0.04816059803929214,-0.08829732505315305,0.7190245786468192,0.0,-0.08415469859077229,0.6819318946134502,0.0,-0.0805098813643785,0.6467379312468265,0.0,-0.07727166674604473,0.6133448415423473,0.0,-0.07436853406071786,0.5816725052450289,0.0,-0.0717440173205624,0.5516716119279,0.0,-0.06935338388790893,0.5233180970745424,0.0,-0.0671611058880038,0.4966010372840723,0.0,-0.06513888238233263,0.471510716173697,0.0,-0.06326407751045145,0.4480298295089958,0.0,-0.06151848590894726,0.4261285179123784
data_magnitude,0.9997859170365987,0.9998185935555112,0.9997850843153195,0.999839665683031,1.0,0.23809398272431112,-0.2579115504706387,1.0,0.13520161751477175,-0.1660070096198737,0.9890959162368637,0.09724879003933343,-0.13785943200820885,0.9621015459986011,0.07703724678165252,-0.12318437771682322,0.9256359265991452,0.0656839117133,-0.1130587460988978,0.8843824697717393,0.058728606143023,-0.10513706661436023,0.841558135780445,0.05405346667890277,-0.09860189898641618,0.7991537294944864,0.05066554117975351,-0.09306983455786191,0.7582132807763029,0.04807621862243426,-0.08831202590442594,0.719157190671474,0.0,-0.08417012731708186,0.6820647501962098,0.0,-0.08052602824520975,0.6468705299799534,0.0,-0.07728851853494806,0.6134764930322772,0.0,-0.07438607228985267,0.5818024267237292,0.0,-0.07176221811748612,0.5517990069536983,0.0,-0.0693722186313203,0.5234422142981747,0.0,-0.06718054223269684,0.49672121031322597,0.0,-0.06515888537259255,0.4716263869422764,0.0,-0.06328461063110806,0.44814055830505506,0.0,-0.06153951200319437,0.4262339834138448
data_magnitude_pow_2,0.9888342619703872,0.9890034707178941,0.9888416975221958,0.9889440499954578,0.9890959162368637,0.2863769316470252,-0.18915111915660207,0.9890959162368637,0.16617320894158247,-0.1171436947717131,1.0,0.12017066356647604,-0.09642905764405325,0.9914751268088394,0.0954819993766793,-0.08587130375119087,0.9698267131795196,0.08155915919244631,-0.07867305447597554,0.9399589792483725,0.07300316158521865,-0.07307708395381027,0.9055660396399648,0.06723771177882779,-0.0684777084206696,0.8691849271905747,0.06305187269639424,-0.0645939573441064,0.832365515301249,0.05984845640243699,-0.061259854607294155,0.7959493134427269,0.0,-0.058361516461147483,0.7603483649971875,0.0,-0.05581452373963012,0.7257557425140001,0.0,-0.05355397506412411,0.6922752880282631,0.0,-0.051529137928948344,0.6599869883988354,0.0,-0.049700049725952176,0.6289707994536794,0.0,-0.048035104357166715,0.599308190642081,0.0,-0.046509230350023,0.571074629928809,0.0,-0.045102475008848925,0.5443307340043437,0.0,-0.04379889164541493,0.5191157623877658,0.0,-0.04258566299308773,0.49544455640934676
data_magnitude_pow_3,0.961797175104212,0.9620633361162364,0.9618519376593062,0.9619575161614352,0.9621015459986011,0.3369996119420462,-0.1441163687731784,0.9621015459986011,0.20003610752640455,-0.08671227542059545,0.9914751268088394,0.14550481385051972,-0.07095742915578007,1.0,0.11599171657584137,-0.06304890983438297,0.9931472339713393,0.0992759503057889,-0.05769889781661555,0.9755439991482073,0.08896831313725095,-0.05355661764843391,0.9509698739361179,0.08200339618454422,-0.05016003137050151,0.9222381560220535,0.07693633452004565,-0.047296362579890484,0.8912369038660718,0.0730528372978637,-0.04484074828816154,0.8591332696734569,0.0,-0.04270796350615621,0.8266218643526567,0.0,-0.04083507655564689,0.7941302106755112,0.0,-0.03917383902820945,0.7619542187972725,0.0,-0.037686610038661965,0.7303317798461925,0.0,-0.03634378135167045,0.69947380090174,0.0,-0.03512196014567702,0.6695710877773078,0.0,-0.034002604216391064,0.6407905383368915,0.0,-0.03297096555852147,0.6132689065460702,0.0,-0.03201526252170391,0.5871082899246658,0.0,-0.0311260290621775,0.5623747523263666
data_magnitude_pow_4,0.9252966945630631,0.9256301137106693,0.9254140614345674,0.9254978236069741,0.9256359265991452,0.3887117500442189,-0.11496436364755583,0.9256359265991452,0.23606882894485037,-0.06787720741590879,0.9698267131795196,0.17276056502318624,-0.05535562410535625,0.9931472339713393,0.1381944201897703,-0.04912588972532704,1.0,0.11852653227223318,-0.04493011262869632,0.9944399480265176,0.10635425381111833,-0.04168877108909856,0.9800577158490301,0.09810540504040356,-0.03903431011919927,0.9597251176043196,0.09209124010797867,-0.03679817577720209,0.9355124262258686,0.08747472824255109,-0.0348818199370324,0.9088077160986553,0.0,-0.03321817087649327,0.8805202116983509,0.0,-0.03175780416294145,0.8512682152010144,0.0,-0.030462882809654056,0.8215114721660554,0.0,-0.02930391921257158,0.7916273690915023,0.0,-0.028257735865131476,0.7619458293346036,0.0,-0.02730603068916323,0.7327595703416273,0.0,-0.026434302464337468,0.7043228121170032,0.0,-0.025631020791620503,0.676846861042316,0.0,-0.024886976650601873,0.6504969987315365,0.0,-0.024194772458343748,0.6253923075565975
data_magnitude_pow_5,0.8840176665686054,0.8843973758644618,0.8841959183400215,0.8842481163780571,0.8843824697717393,0.44029218948430554,-0.09570719722391034,0.8843824697717393,0.2734666596800076,-0.05589381133111516,0.9399589792483725,0.20136764903993765,-0.04550581011678105,0.9755439991482073,0.16164639711673615,-0.040361114430972095,0.9944399480265176,0.1389375387361288,-0.03690359557870559,1.0,0.12483013561281887,-0.03423542352675991,0.9954635410335314,0.1152410970059569,-0.032051647104413473,0.9836068721897915,0.10823416033952409,-0.03021271791986006,0.9665555883788156,0.1028470096098817,-0.0286371924799683,0.9458220565783464,0.0,-0.027269715491208955,0.9224592679054322,0.0,-0.02606953561084287,0.8972248960255546,0.0,-0.025005476726318848,0.8707050284869701,0.0,-0.024053253919435094,0.8433889606586614,0.0,-0.023193785579046767,0.8157052831867831,0.0,-0.022412007686566735,0.7880337735353227,0.0,-0.02169598680988384,0.7607054430096802,0.0,-0.02103623559911822,0.7339990784327153,0.0,-0.020425177587362862,0.708138843675557,,-0.019856727166475557,0.6832947246997106
data_magnitude_pow_6,0.8411769987958212,0.8415881517103732,0.8414054639849847,0.84142565207772,0.841558135780445,0.4908321637893484,-0.08244018613336664,0.841558135780445,0.31154896457309084,-0.047871485918900634,0.9055660396399648,0.230831202602242,-0.03894547251921594,0.9509698739361179,0.1859572471340973,-0.034534049837402665,0.9800577158490301,0.16017772357793167,-0.03157210577251672,0.9954635410335314,0.14410097562099436,-0.029287395239556976,1.0,0.13313981734879363,-0.027417920172992667,0.9962515969041942,0.12511201867342953,-0.02584390181805346,0.9863059409453568,0.11892999744723294,-0.02449548869204068,0.9717199530368561,0.0,-0.02332523133947036,0.9536262771739467,0.0,-0.022298212442356344,0.9328716836141554,0.0,-0.021387726508688445,0.9101294222433957,0.0,-0.020572975094786276,0.8859701562743271,0.0,-0.019837618309933417,0.8608973817658427,0.0,-0.019168757883136642,0.8353596154642405,0.0,-0.018556176800159526,0.8097507955802361,0.0,-0.01799175275513784,0.784407007363394,0.0,-0.017468999670182273,0.7596041459843552,,-0.016982707953424037,0.7355584098642504
data_magnitude_pow_7,0.7987644968010021,0.7991961527374271,0.7990295689618033,0.7990217775162312,0.7991537294944864,0.5397432218786576,-0.07280778442979237,0.7991537294944864,0.3498008388636688,-0.04216043783720484,0.8691849271905747,0.2607675964587979,-0.03428905513492648,0.9222381560220535,0.2108207036143272,-0.03040225410371561,0.9597251176043196,0.18198547035610718,-0.027793518894286814,0.9836068721897915,0.16393290414357534,-0.02578160327777357,0.9962515969041942,0.15158650279030167,-0.02413549382619634,1.0,0.1425234393275992,-0.02274961803920343,0.9968386555026963,0.0,-0.02156242779792076,0.9883083035195575,0.0,-0.020532123136096418,0.9755683082513577,0.0,-0.01962794870655079,0.959510450950966,0.0,-0.01882638459522736,0.9408591146193258,0.0,-0.018109114621600187,0.9202371208425352,0.0,-0.017461749765775133,0.8981993447996585,0.0,-0.01687293213693044,0.8752442838867436,0.0,-0.0163336651329808,0.8518140808829284,0.0,-0.015836796794648802,0.8282908209003863,0.0,-0.015376616006511594,0.8049937147867497,,-0.01494853568381308,0.782179149359623
data_magnitude_pow_8,0.7578228068017399,0.75826649541427,0.7581113314594512,0.7580811102471438,0.7582132807763029,0.5866373608766268,-0.06543563256401652,0.7582132807763029,0.3878218280317109,-0.037842220933411753,0.832365515301249,0.29087056809551165,-0.030773594955004924,0.8912369038660718,0.23598907374332617,-0.027284387251352397,0.9355124262258686,0.20414763884546863,-0.024942826477188876,0.9665555883788156,0.18413458866315924,-0.023137072324521984,0.9863059409453568,0.17040477334639242,-0.021659686883376595,0.9968386555026963,0.16030301342946282,-0.02041588550898723,1.0,0.0,-0.019350415472701256,0.9972710285173468,0.0,-0.018425755182274337,0.9897968254107936,0.0,-0.017614298650385152,0.9784781821651629,0.0,-0.016894935159569243,0.9640600044754863,0.0,-0.016251225098578303,0.9471916481616343,0.0,-0.01567025388573396,0.9284581428890765,0.0,-0.01514182759614729,0.9083905858545419,0.0,-0.014657871680473947,0.8874653000378576,0.0,-0.014211967220728833,0.8660992662091647,0.0,-0.013798988490855977,0.8446464211771085,,-0.01341481860061846,0.8233968811330805
data_magnitude_pow_9,0.7187709278476446,0.7192198463732584,0.7190716224020062,0.7190245786468192,0.719157190671474,0.6312168169908633,-0.0595246208748464,0.719157190671474,0.4252663514770411,-0.03440344539451077,0.7959493134427269,0.3208690438328353,-0.02797602354913547,0.8591332696734569,0.26124007514563113,-0.024803737757568455,0.9088077160986553,0.2264714023224025,-0.022674960397623047,0.9458220565783464,0.20453210742174882,-0.021033333576556942,0.9717199530368561,0.18943383333527758,-0.019690243646518158,0.9883083035195575,0.17829966250486826,-0.018559511879256578,0.9972710285173468,0.0,-0.01759090412101125,1.0,0.0,-0.016750307736583585,0.9975957909825285,0.0,-0.01601262526516008,0.9909402648101651,0.0,-0.015358664519913554,0.980774205518626,0.0,-0.014773480031328775,0.9677522547611954,0.0,-0.01424533104663538,0.9524715328708914,0.0,-0.013764950221608514,0.9354805739167452,0.0,-0.013324996967611153,0.9172773347246979,0.0,-0.012919635846590867,0.8983034850904558,0.0,-0.012544207069262169,0.8789395460916395,,-0.012194967982677602,0.8595030124195492
